지점,지점명,일시,강수량(mm)
108,서울,2022.1.2 6:00,0
108,서울,2022.1.2 9:00,0.3
108,서울,2022.1.3 21:00,0
108,서울,2022.1.4 0:00,0
108,서울,2022.1.4 3:00,0
108,서울,2022.1.8 15:00,0
108,서울,2022.1.10 21:00,0
108,서울,2022.1.11 0:00,0.9
108,서울,2022.1.11 3:00,0.2
108,서울,2022.1.15 21:00,0
108,서울,2022.1.16 0:00,0
108,서울,2022.1.16 3:00,0
108,서울,2022.1.17 15:00,0
108,서울,2022.1.17 18:00,0.5
108,서울,2022.1.17 21:00,0
108,서울,2022.1.19 9:00,0
108,서울,2022.1.19 12:00,1.1
108,서울,2022.1.19 15:00,0.6
108,서울,2022.1.19 18:00,0
108,서울,2022.1.25 3:00,0
108,서울,2022.1.25 6:00,0.3
108,서울,2022.1.25 9:00,0.2
108,서울,2022.1.25 12:00,0.2
108,서울,2022.1.25 15:00,0
108,서울,2022.1.25 18:00,0
108,서울,2022.1.31 21:00,0
108,서울,2022.2.1 0:00,1.2
108,서울,2022.2.1 3:00,0
108,서울,2022.2.1 6:00,1.7
108,서울,2022.2.1 9:00,0
108,서울,2022.2.1 12:00,0
108,서울,2022.2.4 18:00,0
108,서울,2022.2.14 18:00,1.7
108,서울,2022.2.15 3:00,0
108,서울,2022.2.15 6:00,0
108,서울,2022.2.15 9:00,0
108,서울,2022.2.15 12:00,0
108,서울,2022.2.15 15:00,0
108,서울,2022.2.15 18:00,0
108,서울,2022.2.16 9:00,0
108,서울,2022.2.19 18:00,0.1
108,서울,2022.2.19 21:00,0
108,서울,2022.2.21 12:00,0
108,서울,2022.2.21 15:00,0.1
108,서울,2022.2.26 15:00,0
108,서울,2022.2.26 18:00,0
108,서울,2022.2.26 21:00,1.1
108,서울,2022.3.1 3:00,0
108,서울,2022.3.1 6:00,1.7
108,서울,2022.3.1 9:00,0.6
108,서울,2022.3.12 21:00,0.2
108,서울,2022.3.13 0:00,2.4
108,서울,2022.3.13 3:00,32.2
108,서울,2022.3.13 6:00,8.8
108,서울,2022.3.13 9:00,0.8
108,서울,2022.3.13 12:00,0.2
108,서울,2022.3.13 15:00,0.1
108,서울,2022.3.14 15:00,7.9
108,서울,2022.3.14 18:00,0.8
108,서울,2022.3.17 21:00,1.2
108,서울,2022.3.18 0:00,0
108,서울,2022.3.18 3:00,0
108,서울,2022.3.18 6:00,0
108,서울,2022.3.18 15:00,0
108,서울,2022.3.19 3:00,0.2
108,서울,2022.3.19 6:00,5.3
108,서울,2022.3.19 9:00,4.5
108,서울,2022.3.19 12:00,4.6
108,서울,2022.3.19 15:00,0
108,서울,2022.3.20 3:00,0
